entry_time,exit_time,side,entry,exit,stop_loss,take_profit,pnl_points,bars_held,exit_reason
2024-02-02 20:00:00+00:00,2024-02-03 12:00:00+00:00,short,43095.0,42916.54,44095.0,42916.54,178.46,4,take_profit
2024-02-07 00:00:00+00:00,2024-02-07 00:00:00+00:00,short,43093.5,42815.47,44093.5,42815.47,278.03,0,take_profit
2024-02-10 08:00:00+00:00,2024-02-11 00:00:00+00:00,short,47178.0,48178.0,48178.0,47175.53,-1000.0,4,stop_loss
2024-02-11 16:00:00+00:00,2024-02-12 08:00:00+00:00,short,48172.0,47819.89,49172.0,47819.89,352.11,4,take_profit
2024-02-15 16:00:00+00:00,2024-02-15 20:00:00+00:00,short,51985.5,51412.76,52985.5,51412.76,572.74,1,take_profit
2024-02-16 08:00:00+00:00,2024-02-17 08:00:00+00:00,short,51773.0,51674.44,52773.0,51674.44,98.56,6,take_profit
2024-02-19 04:00:00+00:00,2024-02-20 08:00:00+00:00,short,52078.5,51998.97,53078.5,51998.97,79.53,7,take_profit
2024-02-22 04:00:00+00:00,2024-02-22 12:00:00+00:00,short,51596.5,51188.26,52596.5,51188.26,408.24,2,take_profit
2024-03-06 16:00:00+00:00,2024-03-07 12:00:00+00:00,short,66504.0,67504.0,67504.0,65859.53,-1000.0,5,stop_loss
2024-03-09 00:00:00+00:00,2024-03-10 00:00:00+00:00,short,68145.5,69145.5,69145.5,67987.66,-1000.0,6,stop_loss
2024-03-10 16:00:00+00:00,2024-03-10 20:00:00+00:00,short,69203.0,68576.31,70203.0,68576.31,626.69,1,take_profit
2024-03-12 04:00:00+00:00,2024-03-12 12:00:00+00:00,short,71607.5,72607.5,72607.5,71110.68,-1000.0,2,stop_loss
2024-03-13 16:00:00+00:00,2024-03-14 04:00:00+00:00,short,72641.0,73641.0,73641.0,72317.66,-1000.0,3,stop_loss
2024-03-18 04:00:00+00:00,2024-03-18 12:00:00+00:00,short,67988.5,67014.74,68988.5,67014.74,973.76,2,take_profit
2024-03-21 16:00:00+00:00,2024-03-21 16:00:00+00:00,short,66584.0,65242.77,67584.0,65242.77,1341.23,0,take_profit
2024-03-26 16:00:00+00:00,2024-03-27 08:00:00+00:00,short,70220.0,69477.76,71220.0,69477.76,742.24,4,take_profit
2024-03-28 20:00:00+00:00,2024-03-29 04:00:00+00:00,short,70860.0,70015.71,71860.0,70015.71,844.29,2,take_profit
2024-04-01 04:00:00+00:00,2024-04-01 04:00:00+00:00,short,70618.0,69952.46,71618.0,69952.46,665.54,0,take_profit
2024-04-05 04:00:00+00:00,2024-04-05 04:00:00+00:00,short,67891.5,66648.59,68891.5,66648.59,1242.91,0,take_profit
2024-04-05 20:00:00+00:00,2024-04-06 16:00:00+00:00,short,67393.0,68393.0,68393.0,67496.31,-1000.0,5,stop_loss
2024-04-09 04:00:00+00:00,2024-04-09 04:00:00+00:00,short,71332.5,70518.89,72332.5,70518.89,813.61,0,take_profit
2024-04-12 08:00:00+00:00,2024-04-12 12:00:00+00:00,short,70786.5,69888.26,71786.5,69888.26,898.24,1,take_profit
2024-04-15 04:00:00+00:00,2024-04-15 04:00:00+00:00,short,65168.5,66168.5,66168.5,64052.73,-1000.0,0,stop_loss
2024-04-15 12:00:00+00:00,2024-04-15 12:00:00+00:00,short,65882.0,64331.16,66882.0,64331.16,1550.84,0,take_profit
2024-04-19 16:00:00+00:00,2024-04-21 00:00:00+00:00,short,64448.5,65448.5,65448.5,64020.14,-1000.0,8,stop_loss
2024-04-21 16:00:00+00:00,2024-04-21 16:00:00+00:00,short,65053.5,64413.59,66053.5,64413.59,639.91,0,take_profit
2024-04-23 04:00:00+00:00,2024-04-23 12:00:00+00:00,short,66436.5,65846.84,67436.5,65846.84,589.66,2,take_profit
2024-04-30 04:00:00+00:00,2024-04-30 08:00:00+00:00,short,63681.5,62350.29,64681.5,62350.29,1331.21,1,take_profit
2024-05-03 00:00:00+00:00,2024-05-03 12:00:00+00:00,short,59074.5,60074.5,60074.5,58696.64,-1000.0,3,stop_loss
2024-05-05 04:00:00+00:00,2024-05-05 12:00:00+00:00,short,63257.5,64257.5,64257.5,63170.07,-1000.0,2,stop_loss
2024-05-05 20:00:00+00:00,2024-05-06 08:00:00+00:00,short,63888.0,64888.0,64888.0,63616.16,-1000.0,3,stop_loss
2024-05-14 04:00:00+00:00,2024-05-14 04:00:00+00:00,short,62502.0,61956.53,63502.0,61956.53,545.47,0,take_profit
2024-05-16 16:00:00+00:00,2024-05-16 16:00:00+00:00,short,65844.0,64871.83,66844.0,64871.83,972.17,0,take_profit
2024-05-18 16:00:00+00:00,2024-05-19 12:00:00+00:00,short,66817.0,66765.76,67817.0,66765.76,51.24,5,take_profit
2024-05-21 16:00:00+00:00,2024-05-21 16:00:00+00:00,short,69852.0,69374.87,70852.0,69374.87,477.13,0,take_profit
2024-05-25 00:00:00+00:00,2024-05-25 08:00:00+00:00,short,68577.0,69577.0,69577.0,68250.89,-1000.0,2,stop_loss
2024-05-25 16:00:00+00:00,2024-05-26 12:00:00+00:00,short,68936.0,68778.91,69936.0,68778.91,157.09,5,take_profit
2024-05-27 20:00:00+00:00,2024-05-28 00:00:00+00:00,short,69289.0,68511.5,70289.0,68511.5,777.5,1,take_profit
2024-06-03 20:00:00+00:00,2024-06-04 12:00:00+00:00,short,69229.5,70229.5,70229.5,68648.09,-1000.0,4,stop_loss
2024-06-06 00:00:00+00:00,2024-06-06 16:00:00+00:00,short,71144.5,70698.11,72144.5,70698.11,446.39,4,take_profit
2024-06-10 00:00:00+00:00,2024-06-10 04:00:00+00:00,short,69650.5,69376.86,70650.5,69376.86,273.64,1,take_profit
2024-06-10 20:00:00+00:00,2024-06-11 00:00:00+00:00,short,69508.5,68974.62,70508.5,68974.62,533.88,1,take_profit
2024-06-16 20:00:00+00:00,2024-06-17 00:00:00+00:00,short,66579.0,66278.61,67579.0,66278.61,300.39,1,take_profit
2024-06-18 00:00:00+00:00,2024-06-18 00:00:00+00:00,short,66523.0,65478.35,67523.0,65478.35,1044.65,0,take_profit
2024-07-01 12:00:00+00:00,2024-07-01 16:00:00+00:00,short,62677.0,63677.0,63677.0,62446.47,-1000.0,1,stop_loss
2024-07-07 08:00:00+00:00,2024-07-07 12:00:00+00:00,short,57360.0,56976.71,58360.0,56976.71,383.29,1,take_profit
2024-07-10 12:00:00+00:00,2024-07-10 12:00:00+00:00,short,58494.0,57553.16,59494.0,57553.16,940.84,0,take_profit
2024-07-12 20:00:00+00:00,2024-07-13 08:00:00+00:00,short,57567.0,58567.0,58567.0,57526.33,-1000.0,3,stop_loss
2024-07-16 08:00:00+00:00,2024-07-16 08:00:00+00:00,short,62906.5,62590.62,63906.5,62590.62,315.88,0,take_profit
2024-07-17 08:00:00+00:00,2024-07-17 16:00:00+00:00,short,65253.0,64179.1,66253.0,64179.1,1073.9,2,take_profit
2024-07-21 08:00:00+00:00,2024-07-21 16:00:00+00:00,short,66696.0,67696.0,67696.0,66345.03,-1000.0,2,stop_loss
2024-07-22 08:00:00+00:00,2024-07-22 12:00:00+00:00,short,67237.5,66842.31,68237.5,66842.31,395.19,1,take_profit
2024-07-23 00:00:00+00:00,2024-07-23 04:00:00+00:00,short,67525.5,66810.82,68525.5,66810.82,714.68,1,take_profit
2024-07-27 20:00:00+00:00,2024-07-27 20:00:00+00:00,short,68236.0,67325.8,69236.0,67325.8,910.2,0,take_profit
2024-08-02 04:00:00+00:00,2024-08-02 12:00:00+00:00,short,64626.5,63410.61,65626.5,63410.61,1215.89,2,take_profit
2024-08-07 00:00:00+00:00,2024-08-07 00:00:00+00:00,short,56000.0,57000.0,57000.0,55071.93,-1000.0,0,stop_loss
2024-08-17 00:00:00+00:00,2024-08-18 00:00:00+00:00,short,58878.0,59878.0,59878.0,59009.79,-1000.0,6,stop_loss
2024-08-18 16:00:00+00:00,2024-08-18 20:00:00+00:00,short,59852.0,59074.98,60852.0,59074.98,777.02,1,take_profit
2024-08-22 04:00:00+00:00,2024-08-23 12:00:00+00:00,short,60530.5,61530.5,61530.5,60465.86,-1000.0,8,stop_loss
2024-09-04 20:00:00+00:00,2024-09-05 00:00:00+00:00,short,58052.5,57102.88,59052.5,57102.88,949.62,1,take_profit
2024-09-09 08:00:00+00:00,2024-09-09 16:00:00+00:00,short,54955.0,55955.0,55955.0,54727.65,-1000.0,2,stop_loss
2024-09-10 16:00:00+00:00,2024-09-10 16:00:00+00:00,short,56592.5,57592.5,57592.5,56260.18,-1000.0,0,stop_loss
2024-09-11 04:00:00+00:00,2024-09-11 04:00:00+00:00,short,56800.0,56458.76,57800.0,56458.76,341.24,0,take_profit
2024-09-12 00:00:00+00:00,2024-09-12 00:00:00+00:00,short,57320.0,58320.0,58320.0,56734.83,-1000.0,0,stop_loss
2024-09-13 00:00:00+00:00,2024-09-13 12:00:00+00:00,short,58135.0,59135.0,59135.0,57632.36,-1000.0,3,stop_loss
2024-09-14 12:00:00+00:00,2024-09-15 16:00:00+00:00,short,59703.5,59757.15,60703.5,59757.15,-53.65,7,take_profit
2024-09-23 08:00:00+00:00,2024-09-24 00:00:00+00:00,short,63544.5,62934.42,64544.5,62934.42,610.08,4,take_profit
2024-09-25 08:00:00+00:00,2024-09-25 08:00:00+00:00,short,63846.0,63457.56,64846.0,63457.56,388.44,0,take_profit
2024-09-26 20:00:00+00:00,2024-09-27 08:00:00+00:00,short,64707.5,65707.5,65707.5,64650.91,-1000.0,3,stop_loss
2024-09-27 20:00:00+00:00,2024-09-28 12:00:00+00:00,short,65644.0,65412.39,66644.0,65412.39,231.61,4,take_profit
2024-09-30 00:00:00+00:00,2024-09-30 00:00:00+00:00,short,65594.0,65185.14,66594.0,65185.14,408.86,0,take_profit
2024-10-05 04:00:00+00:00,2024-10-05 20:00:00+00:00,short,61860.0,61725.5,62860.0,61725.5,134.5,4,take_profit
2024-10-07 12:00:00+00:00,2024-10-07 12:00:00+00:00,short,63140.0,64140.0,64140.0,62609.99,-1000.0,0,stop_loss
2024-10-12 20:00:00+00:00,2024-10-13 08:00:00+00:00,short,62991.0,62581.72,63991.0,62581.72,409.28,3,take_profit
2024-10-15 04:00:00+00:00,2024-10-15 12:00:00+00:00,short,65409.0,66409.0,66409.0,64898.65,-1000.0,2,stop_loss
2024-10-16 08:00:00+00:00,2024-10-16 08:00:00+00:00,short,66975.0,67975.0,67975.0,66226.68,-1000.0,0,stop_loss
2024-10-16 20:00:00+00:00,2024-10-17 08:00:00+00:00,short,67730.0,66983.05,68730.0,66983.05,746.95,3,take_profit
2024-10-18 12:00:00+00:00,2024-10-18 12:00:00+00:00,short,67720.5,68720.5,68720.5,67343.45,-1000.0,0,stop_loss
2024-10-19 00:00:00+00:00,2024-10-19 16:00:00+00:00,short,68435.5,68031.55,69435.5,68031.55,403.95,4,take_profit
2024-10-20 20:00:00+00:00,2024-10-21 00:00:00+00:00,short,68512.5,69512.5,69512.5,68372.78,-1000.0,1,stop_loss
2024-10-25 04:00:00+00:00,2024-10-25 04:00:00+00:00,short,68010.0,67311.5,69010.0,67311.5,698.5,0,take_profit
2024-10-28 04:00:00+00:00,2024-10-28 08:00:00+00:00,short,67725.0,68725.0,68725.0,67634.29,-1000.0,1,stop_loss
2024-10-28 16:00:00+00:00,2024-10-28 16:00:00+00:00,short,68487.0,69487.0,69487.0,67986.07,-1000.0,0,stop_loss
2024-11-05 12:00:00+00:00,2024-11-05 12:00:00+00:00,short,68810.0,69810.0,69810.0,68170.19,-1000.0,0,stop_loss
2024-11-05 20:00:00+00:00,2024-11-06 00:00:00+00:00,short,68970.0,69970.0,69970.0,68641.73,-1000.0,1,stop_loss
2024-11-07 08:00:00+00:00,2024-11-07 12:00:00+00:00,short,74801.5,75801.5,75801.5,74086.71,-1000.0,1,stop_loss
2024-11-08 00:00:00+00:00,2024-11-08 16:00:00+00:00,short,75866.5,76866.5,76866.5,75489.13,-1000.0,4,stop_loss
2024-11-09 00:00:00+00:00,2024-11-09 16:00:00+00:00,short,76489.5,75991.96,77489.5,75991.96,497.54,4,take_profit
2024-11-12 12:00:00+00:00,2024-11-12 16:00:00+00:00,short,87230.0,88230.0,88230.0,85090.68,-1000.0,1,stop_loss
2024-11-13 00:00:00+00:00,2024-11-13 12:00:00+00:00,short,87972.0,88972.0,88972.0,86638.27,-1000.0,3,stop_loss
2024-11-13 20:00:00+00:00,2024-11-14 08:00:00+00:00,short,90219.0,91219.0,91219.0,88855.25,-1000.0,3,stop_loss
2024-11-18 12:00:00+00:00,2024-11-18 12:00:00+00:00,short,90338.5,91338.5,91338.5,89810.67,-1000.0,0,stop_loss
2024-11-20 00:00:00+00:00,2024-11-20 08:00:00+00:00,short,92336.0,93336.0,93336.0,91726.93,-1000.0,2,stop_loss
2024-11-23 00:00:00+00:00,2024-11-23 16:00:00+00:00,short,98921.5,97972.02,99921.5,97972.02,949.48,4,take_profit
2024-11-28 04:00:00+00:00,2024-11-29 00:00:00+00:00,short,95540.5,96540.5,96540.5,94863.61,-1000.0,5,stop_loss
2024-11-29 08:00:00+00:00,2024-11-29 08:00:00+00:00,short,95690.5,96690.5,96690.5,95220.94,-1000.0,0,stop_loss
2024-11-29 20:00:00+00:00,2024-11-30 08:00:00+00:00,short,97380.0,96299.45,98380.0,96299.45,1080.55,3,take_profit
2024-12-01 16:00:00+00:00,2024-12-02 00:00:00+00:00,short,97081.5,98081.5,98081.5,96572.0,-1000.0,2,stop_loss
2024-12-05 16:00:00+00:00,2024-12-05 16:00:00+00:00,short,101355.5,99150.29,102355.5,99150.29,2205.21,0,take_profit
2024-12-07 00:00:00+00:00,2024-12-08 08:00:00+00:00,short,99802.5,99163.31,100802.5,99163.31,639.19,8,take_profit
2024-12-12 08:00:00+00:00,2024-12-12 12:00:00+00:00,short,100481.5,101481.5,101481.5,99677.92,-1000.0,1,stop_loss
2024-12-14 12:00:00+00:00,2024-12-14 20:00:00+00:00,short,101562.5,100721.72,102562.5,100721.72,840.78,2,take_profit
2024-12-16 12:00:00+00:00,2024-12-16 12:00:00+00:00,short,103721.5,104721.5,104721.5,103180.59,-1000.0,0,stop_loss
2024-12-21 12:00:00+00:00,2024-12-21 12:00:00+00:00,short,98225.5,96583.65,99225.5,96583.65,1641.85,0,take_profit
2024-12-26 04:00:00+00:00,2024-12-26 04:00:00+00:00,short,98957.5,97717.04,99957.5,97717.04,1240.46,0,take_profit
2024-12-31 20:00:00+00:00,2025-01-01 08:00:00+00:00,short,94156.0,93153.57,95156.0,93153.57,1002.43,3,take_profit
2025-01-03 08:00:00+00:00,2025-01-03 12:00:00+00:00,short,96275.5,97275.5,97275.5,96063.9,-1000.0,1,stop_loss
2025-01-04 12:00:00+00:00,2025-01-05 08:00:00+00:00,short,97831.5,97731.05,98831.5,97731.05,100.45,5,take_profit
2025-01-11 00:00:00+00:00,2025-01-12 08:00:00+00:00,short,94676.0,93966.59,95676.0,93966.59,709.41,8,take_profit
2025-01-12 20:00:00+00:00,2025-01-12 20:00:00+00:00,short,94625.0,94037.95,95625.0,94037.95,587.05,0,take_profit
2025-01-15 12:00:00+00:00,2025-01-15 12:00:00+00:00,short,96725.5,97725.5,97725.5,95990.51,-1000.0,0,stop_loss
2025-01-16 12:00:00+00:00,2025-01-16 12:00:00+00:00,short,99107.0,98016.82,100107.0,98016.82,1090.18,0,take_profit
2025-01-17 00:00:00+00:00,2025-01-17 00:00:00+00:00,short,99937.5,100937.5,100937.5,98877.02,-1000.0,0,stop_loss
2025-01-18 04:00:00+00:00,2025-01-18 08:00:00+00:00,short,103531.0,102295.35,104531.0,102295.35,1235.65,1,take_profit
2025-01-19 12:00:00+00:00,2025-01-19 12:00:00+00:00,short,104354.0,105354.0,105354.0,103660.66,-1000.0,0,stop_loss
2025-01-20 16:00:00+00:00,2025-01-20 16:00:00+00:00,short,105001.0,106001.0,106001.0,102760.12,-1000.0,0,stop_loss
2025-01-22 04:00:00+00:00,2025-01-22 12:00:00+00:00,short,105588.5,104055.1,106588.5,104055.1,1533.4,2,take_profit
2025-01-23 20:00:00+00:00,2025-01-23 20:00:00+00:00,short,103713.5,104713.5,104713.5,102397.52,-1000.0,0,stop_loss
2025-01-31 00:00:00+00:00,2025-01-31 00:00:00+00:00,short,104676.5,104041.48,105676.5,104041.48,635.02,0,take_profit
2025-02-04 08:00:00+00:00,2025-02-04 08:00:00+00:00,short,98405.0,97921.75,99405.0,97921.75,483.25,0,take_profit
2025-02-09 08:00:00+00:00,2025-02-09 12:00:00+00:00,short,97019.5,96147.14,98019.5,96147.14,872.36,1,take_profit
2025-02-10 16:00:00+00:00,2025-02-11 04:00:00+00:00,short,97188.0,98188.0,98188.0,96987.33,-1000.0,3,stop_loss
2025-02-14 08:00:00+00:00,2025-02-14 16:00:00+00:00,short,96889.5,97889.5,97889.5,96236.24,-1000.0,2,stop_loss
2025-02-15 00:00:00+00:00,2025-02-16 04:00:00+00:00,short,97445.0,97184.1,98445.0,97184.1,260.9,7,take_profit
2025-02-19 16:00:00+00:00,2025-02-20 00:00:00+00:00,short,95895.5,96895.5,96895.5,95622.37,-1000.0,2,stop_loss
2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,short,84299.5,85299.5,85299.5,82380.5,-1000.0,0,stop_loss
2025-03-01 08:00:00+00:00,2025-03-01 20:00:00+00:00,short,84707.0,85707.0,85707.0,84179.4,-1000.0,3,stop_loss
2025-03-05 00:00:00+00:00,2025-03-05 08:00:00+00:00,short,87246.0,88246.0,88246.0,85835.76,-1000.0,2,stop_loss
2025-03-05 16:00:00+00:00,2025-03-05 16:00:00+00:00,short,88313.0,89313.0,89313.0,86651.49,-1000.0,0,stop_loss
2025-03-12 04:00:00+00:00,2025-03-12 12:00:00+00:00,short,82098.5,83098.5,83098.5,81022.87,-1000.0,2,stop_loss
2025-03-13 04:00:00+00:00,2025-03-13 12:00:00+00:00,short,83537.0,81897.64,84537.0,81897.64,1639.36,2,take_profit
2025-03-15 08:00:00+00:00,2025-03-16 00:00:00+00:00,short,83797.0,83726.67,84797.0,83726.67,70.33,4,take_profit
2025-03-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,short,83963.0,82987.48,84963.0,82987.48,975.52,0,take_profit
2025-03-25 00:00:00+00:00,2025-03-25 00:00:00+00:00,short,87463.5,86466.57,88463.5,86466.57,996.93,0,take_profit
2025-03-26 00:00:00+00:00,2025-03-26 12:00:00+00:00,short,87370.0,86945.53,88370.0,86945.53,424.47,3,take_profit
2025-03-31 20:00:00+00:00,2025-04-01 04:00:00+00:00,short,82427.0,83427.0,83427.0,82248.14,-1000.0,2,stop_loss
2025-04-02 04:00:00+00:00,2025-04-02 12:00:00+00:00,short,84509.0,85509.0,85509.0,84014.33,-1000.0,2,stop_loss
2025-04-12 04:00:00+00:00,2025-04-12 08:00:00+00:00,short,82940.5,83940.5,83940.5,82258.07,-1000.0,1,stop_loss
2025-04-13 08:00:00+00:00,2025-04-13 12:00:00+00:00,short,84378.0,83848.33,85378.0,83848.33,529.67,1,take_profit
2025-04-23 16:00:00+00:00,2025-04-23 16:00:00+00:00,short,93140.0,94140.0,94140.0,91791.85,-1000.0,0,stop_loss
2025-04-24 04:00:00+00:00,2025-04-24 04:00:00+00:00,short,92633.0,92208.68,93633.0,92208.68,424.32,0,take_profit
2025-04-25 04:00:00+00:00,2025-04-25 08:00:00+00:00,short,93263.0,94263.0,94263.0,92849.78,-1000.0,1,stop_loss
2025-04-26 00:00:00+00:00,2025-04-26 08:00:00+00:00,short,94601.5,93972.59,95601.5,93972.59,628.91,2,take_profit
2025-05-02 08:00:00+00:00,2025-05-02 12:00:00+00:00,short,96302.0,97302.0,97302.0,96078.55,-1000.0,1,stop_loss
2025-05-02 20:00:00+00:00,2025-05-03 00:00:00+00:00,short,96850.0,96292.11,97850.0,96292.11,557.89,1,take_profit
