entry_mode,stop_loss_points,min_distance_from_ema7_low,take_profit,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits,end_of_data_exits
signal_close,600.0,400.0,ema_8_low,486,267,219,54.94,21523.97,44.29,1.168,-6267.44,3.23,272,214,0
signal_close,800.0,400.0,ema_8_low,470,289,181,61.49,20636.36,43.91,1.151,-9605.38,3.83,301,169,0
signal_close,800.0,300.0,ema_8_low,685,436,249,63.65,19918.83,29.08,1.106,-16338.68,3.69,453,232,0
signal_close,600.0,300.0,ema_8_low,715,408,307,57.06,19758.75,27.63,1.11,-10945.36,3.15,415,300,0
next_open,800.0,400.0,ema_8_low,469,288,181,61.41,19459.02,41.49,1.143,-9585.88,2.83,300,169,0
signal_close,800.0,150.0,ema_8_low,1013,678,335,66.93,19287.0,19.04,1.079,-21727.12,3.64,712,300,1
signal_close,500.0,400.0,ema_8_low,496,247,249,49.8,19092.26,38.49,1.156,-6576.15,2.89,251,245,0
next_open,600.0,400.0,ema_8_low,485,266,219,54.85,18928.2,39.03,1.147,-6225.44,2.25,270,215,0
next_open,800.0,150.0,ema_8_low,1012,677,335,66.9,18652.66,18.43,1.077,-21748.12,2.64,711,300,1
next_open,800.0,300.0,ema_8_low,683,434,249,63.54,18610.01,27.25,1.1,-16307.18,2.69,451,232,0
next_open,500.0,400.0,ema_8_low,496,247,249,49.8,18439.26,37.18,1.15,-6573.65,1.89,251,245,0
next_open,600.0,300.0,ema_8_low,714,408,306,57.14,17762.23,24.88,1.099,-10928.86,2.17,414,300,0
signal_close,1000.0,300.0,ema_8_low,663,440,223,66.37,17462.53,26.34,1.093,-21016.52,4.1,480,183,0
signal_close,500.0,300.0,ema_8_low,730,380,350,52.05,16563.12,22.69,1.096,-7754.3,2.85,384,346,0
next_open,1000.0,300.0,ema_8_low,663,440,223,66.37,16412.06,24.75,1.087,-20862.02,3.08,479,184,0
next_open,500.0,300.0,ema_8_low,730,380,350,52.05,15875.12,21.75,1.092,-7735.3,1.85,384,346,0
signal_close,600.0,150.0,ema_8_low,1061,646,415,60.89,15178.26,14.31,1.063,-15309.19,3.17,661,399,1
signal_close,1000.0,400.0,ema_8_low,459,297,162,64.71,14814.76,32.28,1.105,-9356.97,4.22,320,139,0
signal_close,800.0,100.0,ema_8_low,1061,709,352,66.82,14523.69,13.69,1.057,-22803.78,3.63,750,310,1
signal_close,1000.0,150.0,ema_8_low,974,672,302,68.99,14516.32,14.9,1.06,-23770.99,4.02,739,234,1
next_open,1000.0,150.0,ema_8_low,975,673,302,69.03,13974.82,14.33,1.057,-23580.49,3.01,739,235,1
signal_close,800.0,50.0,ema_8_low,1088,731,357,67.19,13907.24,12.78,1.054,-22565.81,3.61,774,313,1
next_open,600.0,150.0,ema_8_low,1061,647,414,60.98,13896.11,13.1,1.058,-15332.19,2.18,661,399,1
next_open,800.0,100.0,ema_8_low,1060,709,351,66.89,13893.85,13.11,1.055,-22823.78,2.63,749,310,1
next_open,1000.0,400.0,ema_8_low,459,297,162,64.71,13796.29,30.06,1.097,-9261.47,3.2,319,140,0
signal_close,600.0,50.0,ema_8_low,1149,713,436,62.05,13439.51,11.7,1.054,-15925.31,3.15,733,415,1
next_open,800.0,50.0,ema_8_low,1087,731,356,67.25,13387.4,12.32,1.052,-22585.31,2.61,773,313,1
next_open,500.0,150.0,ema_8_low,1092,617,475,56.5,13245.46,12.13,1.057,-11052.11,1.86,627,464,1
signal_close,600.0,100.0,ema_8_low,1115,684,431,61.35,12989.07,11.65,1.052,-16448.93,3.16,703,411,1
next_open,600.0,50.0,ema_8_low,1148,714,434,62.2,12223.65,10.65,1.049,-15769.38,2.16,732,415,1
signal_close,500.0,150.0,ema_8_low,1093,616,477,56.36,11767.3,10.77,1.05,-11052.11,2.85,625,467,1
next_open,600.0,100.0,ema_8_low,1115,686,429,61.52,11710.92,10.5,1.047,-16007.84,2.17,703,411,1
signal_close,1000.0,100.0,ema_8_low,1021,705,316,69.05,11004.18,10.78,1.044,-25817.55,4.0,779,241,1
signal_close,800.0,200.0,ema_8_low,912,594,318,65.13,10855.03,11.9,1.046,-21304.2,3.68,620,291,1
signal_close,600.0,200.0,ema_8_low,954,563,391,59.01,10713.45,11.23,1.047,-14462.07,3.19,574,379,1
next_open,1000.0,100.0,ema_8_low,1022,707,315,69.18,10493.68,10.27,1.042,-25600.55,3.0,779,242,1
signal_close,1000.0,50.0,ema_8_low,1047,728,319,69.53,10375.05,9.91,1.041,-25522.32,3.97,802,244,1
next_open,800.0,200.0,ema_8_low,911,592,319,64.98,10057.69,11.04,1.043,-21325.2,2.68,619,291,1
next_open,1000.0,50.0,ema_8_low,1048,730,318,69.66,9961.55,9.51,1.039,-25294.32,2.97,802,245,1
next_open,500.0,100.0,ema_8_low,1159,662,497,57.12,9833.96,8.48,1.041,-13505.04,1.84,674,484,1
signal_close,1000.0,200.0,ema_8_low,874,591,283,67.62,9309.27,10.65,1.04,-22787.68,4.09,648,225,1
next_open,600.0,200.0,ema_8_low,954,563,391,59.01,9260.8,9.71,1.041,-13918.32,2.21,574,379,1
next_open,400.0,400.0,ema_8_low,502,212,290,42.23,9111.86,18.15,1.079,-8817.98,1.44,214,288,0
next_open,500.0,200.0,ema_8_low,982,534,448,54.38,8959.81,9.12,1.041,-11888.37,1.88,542,439,1
signal_close,400.0,400.0,ema_8_low,501,210,291,41.92,8937.46,17.84,1.077,-7418.21,2.44,212,289,0
next_open,1000.0,200.0,ema_8_low,875,591,284,67.54,8608.27,9.84,1.037,-22646.18,3.08,648,226,1
signal_close,500.0,200.0,ema_8_low,983,534,449,54.32,8409.92,8.56,1.038,-11833.7,2.87,541,441,1
signal_close,600.0,600.0,ema_8_low,190,92,98,48.42,8407.2,44.25,1.143,-6686.05,3.08,92,98,0
signal_close,500.0,100.0,ema_8_low,1160,660,500,56.9,8315.3,7.17,1.034,-13538.54,2.84,672,487,1
next_open,400.0,300.0,ema_8_low,742,335,407,45.15,7908.45,10.66,1.049,-10847.77,1.47,337,405,0
next_open,500.0,50.0,ema_8_low,1196,689,507,57.61,7656.24,6.4,1.031,-13570.65,1.83,700,495,1
signal_close,300.0,400.0,ema_8_low,507,176,331,34.71,7612.65,15.02,1.077,-10980.05,2.07,176,331,0
next_open,600.0,600.0,ema_8_low,190,92,98,48.42,6995.81,36.82,1.119,-6671.55,2.16,92,98,0
signal_close,200.0,400.0,ema_8_low,511,131,380,25.64,6864.31,13.43,1.09,-8731.68,1.64,131,380,0
signal_close,400.0,300.0,ema_8_low,741,332,409,44.8,6851.09,9.25,1.042,-10621.21,2.46,334,407,0
signal_close,800.0,600.0,ema_8_low,186,102,84,54.84,6282.94,33.78,1.095,-8845.93,3.72,104,82,0
signal_close,500.0,600.0,ema_8_low,192,82,110,42.71,6173.57,32.15,1.112,-7888.38,2.69,82,110,0
signal_close,500.0,50.0,ema_8_low,1197,687,510,57.39,6045.08,5.05,1.024,-13571.65,2.82,698,498,1
next_open,500.0,600.0,ema_8_low,192,82,110,42.71,5674.07,29.55,1.103,-7873.38,1.7,82,110,0
next_open,300.0,400.0,ema_8_low,507,176,331,34.71,5292.32,10.44,1.053,-10348.91,1.08,176,331,0
next_open,800.0,600.0,ema_8_low,186,102,84,54.84,5055.08,27.18,1.077,-8817.93,2.76,104,82,0
next_open,200.0,400.0,ema_8_low,511,129,382,25.24,4872.15,9.53,1.064,-8023.16,0.66,129,382,0
signal_close,300.0,300.0,ema_8_low,756,280,476,37.04,3282.44,4.34,1.023,-14645.87,2.11,280,476,0
signal_close,200.0,300.0,ema_8_low,764,210,554,27.49,2612.67,3.42,1.024,-11612.19,1.67,210,554,0
signal_close,1000.0,600.0,ema_8_low,182,107,75,58.79,2144.14,11.78,1.03,-11964.36,4.16,112,70,0
next_open,400.0,150.0,ema_8_low,1128,564,564,50.0,2038.44,1.81,1.009,-13715.33,1.5,569,558,1
next_open,1000.0,600.0,ema_8_low,182,107,75,58.79,1537.14,8.45,1.022,-11960.36,3.18,112,70,0
next_open,300.0,300.0,ema_8_low,756,281,475,37.17,1495.38,1.98,1.01,-13991.73,1.12,281,475,0
signal_close,400.0,150.0,ema_8_low,1127,562,565,49.87,800.58,0.71,1.004,-13692.33,2.5,566,560,1
signal_close,400.0,600.0,ema_8_low,193,64,129,33.16,-9.63,-0.05,1.0,-9258.42,2.13,64,129,0
next_open,200.0,300.0,ema_8_low,765,207,558,27.06,-238.47,-0.31,0.998,-10620.6,0.69,207,558,0
next_open,400.0,200.0,ema_8_low,1011,483,528,47.77,-473.54,-0.47,0.998,-15394.38,1.5,486,524,1
next_open,400.0,600.0,ema_8_low,193,64,129,33.16,-893.9,-4.63,0.983,-8081.97,1.14,64,129,0
signal_close,300.0,150.0,ema_8_low,1161,493,668,42.46,-950.1,-0.82,0.995,-18133.36,2.13,492,668,1
signal_close,400.0,200.0,ema_8_low,1010,481,529,47.62,-1560.39,-1.54,0.993,-14153.35,2.49,483,526,1
next_open,400.0,100.0,ema_8_low,1202,610,592,50.75,-1600.78,-1.33,0.993,-16426.52,1.48,616,585,1
next_open,300.0,150.0,ema_8_low,1162,495,667,42.6,-2091.07,-1.8,0.99,-17837.96,1.13,494,667,1
signal_close,200.0,200.0,ema_8_low,1063,320,743,30.1,-2476.66,-2.33,0.983,-15713.66,1.7,319,743,1
next_open,400.0,50.0,ema_8_low,1240,637,603,51.37,-2564.77,-2.07,0.989,-16891.97,1.48,643,596,1
signal_close,300.0,200.0,ema_8_low,1039,417,622,40.13,-2571.96,-2.48,0.986,-19159.9,2.12,416,622,1
signal_close,300.0,600.0,ema_8_low,195,49,146,25.13,-2785.54,-14.28,0.936,-9236.69,1.83,49,146,0
next_open,200.0,200.0,ema_8_low,1063,322,741,30.29,-2807.22,-2.64,0.981,-13781.7,0.71,321,741,1
signal_close,400.0,100.0,ema_8_low,1201,608,593,50.62,-2880.64,-2.4,0.988,-16061.21,2.48,613,587,1
next_open,300.0,200.0,ema_8_low,1040,419,621,40.29,-3905.35,-3.76,0.979,-18935.01,1.12,418,621,1
signal_close,400.0,50.0,ema_8_low,1239,635,604,51.25,-3923.12,-3.17,0.984,-16376.54,2.47,640,598,1
signal_close,200.0,150.0,ema_8_low,1193,380,813,31.85,-4048.73,-3.39,0.975,-16022.61,1.72,379,813,1
next_open,200.0,150.0,ema_8_low,1193,382,811,32.02,-4212.28,-3.53,0.974,-14009.15,0.73,381,811,1
signal_close,200.0,600.0,ema_8_low,195,32,163,16.41,-4308.68,-22.1,0.868,-6854.09,1.5,32,163,0
signal_close,300.0,50.0,ema_8_low,1283,566,717,44.12,-4938.28,-3.85,0.977,-20186.79,2.12,566,716,1
next_open,200.0,600.0,ema_8_low,195,31,164,15.9,-5207.61,-26.71,0.841,-7067.09,0.5,31,164,0
signal_close,300.0,100.0,ema_8_low,1241,535,706,43.11,-5328.42,-4.29,0.975,-20682.76,2.12,535,705,1
next_open,300.0,50.0,ema_8_low,1285,570,715,44.36,-5583.68,-4.35,0.974,-20027.78,1.13,569,715,1
next_open,300.0,100.0,ema_8_low,1243,539,704,43.36,-6052.82,-4.87,0.971,-20533.25,1.13,538,704,1
next_open,300.0,600.0,ema_8_low,195,47,148,24.1,-6156.83,-31.57,0.861,-9885.02,0.83,47,148,0
next_open,200.0,50.0,ema_8_low,1329,453,876,34.09,-6310.23,-4.75,0.964,-14885.3,0.73,452,876,1
signal_close,200.0,50.0,ema_8_low,1329,450,879,33.86,-6729.2,-5.06,0.962,-16809.44,1.72,449,879,1
next_open,200.0,100.0,ema_8_low,1279,422,857,32.99,-6746.65,-5.27,0.961,-15580.95,0.73,421,857,1
signal_close,200.0,100.0,ema_8_low,1279,419,860,32.76,-7101.61,-5.55,0.959,-17633.41,1.72,418,860,1
